|id     |face_id|status|accepted_by|created_at             |
|112,166|440,691|0     |11         |2025-11-25 16:36:16.239|
|112,167|440,693|0     |1          |2025-11-25 16:36:49.261|
|112,168|440,694|0     |1          |2025-11-25 16:37:01.313|
|112,169|440,696|0     |1          |2025-11-25 16:37:18.058|
|112,170|440,697|0     |1          |2025-11-25 16:37:28.834|
|112,171|440,700|0     |11         |2025-11-25 16:37:48.55 |
|112,172|440,704|0     |11         |2025-11-25 16:38:38.299|
|112,173|440,726|0     |11         |2025-11-25 16:47:12.636|
|112,174|440,727|0     |1          |2025-11-25 16:48:03.541|
|112,175|440,735|0     |1          |2025-11-25 16:53:15.237|
|112,176|440,736|0     |1          |2025-11-25 16:53:15.557|
|112,177|440,745|0     |11         |2025-11-25 16:56:54.084|
|112,178|440,753|0     |11         |2025-11-25 17:02:18.932|
|112,179|440,788|0     |11         |2025-11-25 17:07:38.655|
|112,180|440,789|0     |11         |2025-11-25 17:08:01.023|
|112,181|440,790|0     |11         |2025-11-25 17:08:18.191|
|112,182|440,793|0     |11         |2025-11-25 17:09:55.41 |
|112,183|440,811|0     |11         |2025-11-25 17:20:39.792|
|112,184|440,813|0     |11         |2025-11-25 17:20:46.188|
|112,185|440,837|0     |11         |2025-11-25 17:26:29.165|
|112,186|440,858|0     |11         |2025-11-25 17:33:42.462|
|112,187|440,862|0     |11         |2025-11-25 17:36:09.034|
|112,188|440,863|0     |11         |2025-11-25 17:36:09.414|
|112,189|440,886|0     |1          |2025-11-25 17:40:57.632|
|112,190|440,887|0     |1          |2025-11-25 17:41:01.758|
|112,191|440,891|0     |11         |2025-11-25 17:43:06.421|
|112,192|440,909|0     |11         |2025-11-25 17:50:35.953|
|112,193|440,922|0     |1          |2025-11-25 17:52:32.295|
|112,194|440,927|0     |11         |2025-11-25 17:55:05.553|
|112,195|440,930|0     |11         |2025-11-25 17:55:12.335|
|112,196|440,931|0     |11         |2025-11-25 17:55:39.099|
|112,197|440,933|0     |1          |2025-11-25 17:55:39.62 |
|112,198|440,936|0     |11         |2025-11-25 17:55:47.064|
