|id |name                           |comment                      |min_confidence|streams                      |send_internal_notifications|events_holder                                                                                           |status|created_at             |client_id|color  |time_attendance                                                       |enabled|list_permissions                                                                                                                                                                                               |
|103|Base GRUPO VTX                 |Reconhecimento Facial        |20            |"[633]"                      |true                       |"{\"events\":[{\"id\":\"9eba2c16-1adb-48e5-9a20-863b2df9edff\",\"params\":{}}],\"notify_enabled\":true}"|-1    |2025-05-21 15:09:41.472|8        |#1ef901|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":11,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |
|104|Vertex Colaboradores           |                             |80            |"[]"                         |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2025-05-21 16:39:48.908|0        |       |"{\"enabled\":true,\"entrance_streams\":[],\"exit_streams\":[]}"      |[NULL] |"{\"creator_id\":1,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |
|105|SEGEAGLE FACES                 |                             |80            |"[]"                         |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2025-08-07 16:05:13.636|0        |       |"{\"enabled\":true,\"entrance_streams\":[],\"exit_streams\":[]}"      |[NULL] |"{\"creator_id\":1,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |
|106|Blacklist                      |                             |80            |"[839,685]"                  |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2025-07-22 11:10:05.168|89       |#000000|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":105,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"|
|107|Entrada JUSBRASIL              |                             |80            |"[839]"                      |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2025-07-22 11:37:39.944|89       |#000000|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":105,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"|
|108|ALUNOS                         |                             |80            |"[842,843]"                  |true                       |"{\"events\":[{\"id\":\"472f2249-d4f7-4590-96e0-0dc5f3d68224\",\"params\":{}}],\"notify_enabled\":true}"|1     |2025-07-22 18:21:22.782|91       |#142ce6|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":108,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"|
|109|Anima                          |                             |80            |"[]"                         |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2025-08-15 08:09:15.906|8        |#04e713|"{\"enabled\":true,\"entrance_streams\":[],\"exit_streams\":[]}"      |[NULL] |"{\"creator_id\":11,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |
|110|Antonio Monteiro Machado       |                             |60            |"[501]"                      |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2025-08-20 15:57:11.433|8        |#56f500|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":11,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |
|111|Espanha                        |                             |80            |"[853]"                      |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2025-08-19 16:22:18.123|8        |#41f50f|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":11,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |
|112|Gardens                        |                             |75            |"[863]"                      |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2025-08-20 15:31:25.133|8        |#0cec09|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":11,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |
|113|San Francisco Gardens          |                             |80            |"[]"                         |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2025-08-15 08:10:24.175|8        |#0cf708|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":11,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |
|114|Solar Serrano                  |                             |80            |"[]"                         |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2025-08-20 15:31:12.341|8        |#23f207|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":11,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |
