|id |name|parent_id|plugin_name|client_id|
|459|COND. OPTION HOME|0|gender_age|8|
|460|COND. PLANALTO BUTANTA|0|gender_age|8|
|461|COND. PLAZA MORUMBI|0|gender_age|8|
|462|COND. PURUS|0|gender_age|8|
|463|COND. QUINTA DE SILVEIRAS|0|gender_age|8|
|464|COND. ROLDAO|0|gender_age|8|
|465|COND. SANTA RITA|0|gender_age|8|
|466|COND. SANTANNA|0|gender_age|8|
|467|COND. SPAZIO|0|gender_age|8|
|468|COND. TENERIFE|0|gender_age|8|
|469|COND. TERRA BRASILIS|0|gender_age|8|
|470|COND. UPSIDE|0|gender_age|8|
|471|COND. VILA ITU|0|gender_age|8|
|472|COND. VILA MARIANA|0|gender_age|8|
|473|COND. VILA VERDE|0|gender_age|8|
|474|COND. VILLAGIO|0|gender_age|8|
|475|HARAS|0|gender_age|8|
|476|PAULO TEST|0|gender_age|0|
|477|JACKPOT|0|gender_age|8|
|478|Eduacandario|0|gender_age|93|
|479|AUTOBAHN|0|gender_age|6|
|480|CN LOG|0|gender_age|6|
|481|1Project|0|gender_age|0|
|482|MONUV|0|gender_age|0|
|483|COND. LEAF|0|gender_age|8|
|484|COND. COLLINE DE NICE|0|gender_age|8|
|485|9000 - MARTEL SEGURANCA|0|gender_age|96|
|486|2000 - casa das ferragens|0|gender_age|96|
|487|8608 - GTTAM|0|gender_age|97|
|488|1147 - UBS BOA VISTA|0|gender_age|4|
|489|Stratum|0|gender_age|98|
|490|CASA DO CONSTRUTOR|0|gender_age|4|
|491|0076 - Proeng Hall|0|gender_age|97|
|492|5050 - LOJA SOLUTION|0|gender_age|100|
|493|0123 - AFFETTO PAPELARIA|0|gender_age|97|
|494|0124 - VITORIA FUTEBOL CLUBE - GALERIA VITORIA|0|gender_age|97|
|495|ESTOQUE VERTEX|0|gender_age|8|
|496|ATCOM- SHOPPINGS|0|gender_age|101|
|497|MARCELO|0|gender_age|90|
|498|0085 - VITORIA FUTEBOL CLUBE|0|gender_age|97|
|499|AGRALE GALPAO|0|gender_age|6|
|500|SCARDUA|0|gender_age|6|
|501|ASSALTOS|0|gun_detection|1|
|502|SIMULACOES|0|gun_detection|1|
|503|ULTRAFARMA SANTO AMARO|0|gun_detection|4|
|504|IPMED|0|gun_detection|6|
|505|ESPIRAL|0|gun_detection|6|
|506|SERVIP|0|gun_detection|6|
|507|LUVEP|0|gun_detection|6|
|508|GM INDUSTRIAL|0|gun_detection|6|
|509|KOMTEK|0|gun_detection|0|
|510|SHOPP LARANJEIRAS|0|gun_detection|6|
|511|APRESENTACAO|0|gun_detection|0|
|512|6002 - SHOWROOM|0|gun_detection|40|
|513|SHOPPING VITORIA TESTE|0|gun_detection|40|
|514|GDL LOGISTICA|0|gun_detection|40|
|515|CAPIXABA|0|gun_detection|0|
|516|0992 - COPAG|0|gun_detection|80|
|517|PHD Vila Velha|0|gun_detection|6|
|518|PROJETO GDL|0|gun_detection|0|
|519|ESCOLA SANTA TEREZINHA|0|gun_detection|6|
|520|GRUPOSEI|0|gun_detection|0|
|521|BANCO SICOOB|0|gun_detection|84|
|522|EPI|0|gun_detection|0|
|523|ALERTAS OCR|0|gun_detection|1|
|524|RIVIERA|0|gun_detection|6|
|525|POC GRUPO SEI|0|gun_detection|84|
|526|ANTONIO. M. MACHADO|0|gun_detection|8|
|527|SEGEAGLE|0|gun_detection|0|
|528|GTTAN|0|gun_detection|0|
|529|CASA BRANCA|0|gun_detection|6|
|530|EUROVIDROS|0|gun_detection|6|
|531|AGGREGATION|0|gun_detection|0|
|532|HOMOLOGACOES|0|gun_detection|0|
|533|PRAIA FORT|0|gun_detection|0|
|534|COND. ROSENGARTEN|0|gun_detection|8|
|535|COND. SUPREMO VILA YARA|0|gun_detection|8|
|536|FINERAX|0|gun_detection|8|
|537|COND. SOLAR SERRANO|0|gun_detection|8|
|538|COND. CINTIA|0|gun_detection|8|
|539|BASE OPERACAO|0|gun_detection|8|
|540|COND. ANNUNCIATA|0|gun_detection|8|
|541|COND. ART ECO VIDA|0|gun_detection|8|
|542|COND. ATLANTA|0|gun_detection|8|
|543|COND. VILA YARA|0|gun_detection|8|
|544|COND. UPTOWN|0|gun_detection|8|
|545|COND. SHALON|0|gun_detection|8|
|546|COND. AUSTRIA|0|gun_detection|8|
|547|COND. SCORPIUS|0|gun_detection|8|
|548|COND. ROMA|0|gun_detection|8|
|549|COND. PRISCILA|0|gun_detection|8|
|550|COND. PORTAL SAO FRANCISCO|0|gun_detection|8|
|551|COND. ORQUIDEAS|0|gun_detection|8|
|552|COND. MORADA DO SOL|0|gun_detection|8|
|553|COND. MATRIZ|0|gun_detection|8|
|554|COND. MARAPASSU|0|gun_detection|8|
|555|COND. IPANEMA|0|gun_detection|8|
|556|COND. FLORENCA|0|gun_detection|8|
|557|COND. ESPANHA|0|gun_detection|8|
|558|COND. CAMILA|0|gun_detection|8|
|559|COND. BORBA GATO|0|gun_detection|8|
|560|COND. BEIJA FLOR|0|gun_detection|8|
|561|COND. BANDEIRANTES|0|gun_detection|8|
|562|COND. ANIMA|0|gun_detection|8|
|563|COND. 28 DE MAIO|0|gun_detection|8|
|564|COND. AMERICA|0|gun_detection|8|
|565|COND. BONFIGLIOLI|0|gun_detection|8|
|566|COND. BOULEVARD|0|gun_detection|8|
|567|COND. CAMPO GRANDE|0|gun_detection|8|
|568|COND. CANTA GALO|0|gun_detection|8|
|569|COND. CASA FLORA|0|gun_detection|8|
|570|COND. CASCAIS|0|gun_detection|8|
|571|COND. COQUEIROS|0|gun_detection|8|
|572|COND. DIVA|0|gun_detection|8|
|573|COND. FLOR DE LIRIO|0|gun_detection|8|
|574|COND. GARDENS|0|gun_detection|8|
|575|COND. GIUSEPPE|0|gun_detection|8|
|576|COND. GOLDEN GATE|0|gun_detection|8|
|577|COND. GRAND CANAL|0|gun_detection|8|
|578|COND. HORTENCIAS|0|gun_detection|8|
|579|COND. LA VILLETE|0|gun_detection|8|
|580|COND. LIFE STYLE|0|gun_detection|8|
|581|COND. MAGGIORE|0|gun_detection|8|
|582|COND. MARIE|0|gun_detection|8|
|583|COND. MATIAZZO|0|gun_detection|8|
|584|COND. OPTION HOME|0|gun_detection|8|
|585|COND. PLANALTO BUTANTA|0|gun_detection|8|
|586|COND. PLAZA MORUMBI|0|gun_detection|8|
|587|COND. PURUS|0|gun_detection|8|
|588|COND. QUINTA DE SILVEIRAS|0|gun_detection|8|
|589|COND. ROLDAO|0|gun_detection|8|
|590|COND. SANTA RITA|0|gun_detection|8|
|591|COND. SANTANNA|0|gun_detection|8|
