|id                                                                     |author            |filename                                                       |dateexecuted              |orderexecuted|exectype|md5sum                            |description                                                                                                                                                                                                                                               |comments           |tag   |liquibase|contexts|labels|deployment_id|
|create-table-face-detections                                           |dmytro.yarmoshchuk|sql/2.0.0/1-face-detections-table.xml                          |2025-12-17 01:47:00.31691 |51           |EXECUTED|8:5ec7797189a675b8561d7aff067be4ac|createTable tableName=face_detections                                                                                                                                                                                                                     |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5936019968   |
|create-table-face-detections-created-at-index                          |dmytro.yarmoshchuk|sql/2.0.0/1-face-detections-table.xml                          |2025-12-17 01:47:00.358978|52           |EXECUTED|8:edcdc0b1b3eac38ad1a292ced08fb35a|createIndex indexName=face_detections_created_at, tableName=face_detections                                                                                                                                                                               |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5936019968   |
|create-table-face-detections-list-id-index                             |oleg.syvyniuk     |sql/2.0.0/1-face-detections-table.xml                          |2025-12-17 01:47:00.403801|53           |EXECUTED|8:2f100b934ead65c136ea3335b7132fce|createIndex indexName=face_detections_list_id, tableName=face_detections                                                                                                                                                                                  |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5936019968   |
|create-table-face-detections-list-item-id-index                        |oleg.syvyniuk     |sql/2.0.0/1-face-detections-table.xml                          |2025-12-17 01:47:00.484407|54           |EXECUTED|8:aba1c9eddd6fc1877ab958ee8008f4d8|createIndex indexName=face_detections_list_item_id, tableName=face_detections                                                                                                                                                                             |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5936019968   |
|create-table-face-detections-confidence-index                          |oleg.syvyniuk     |sql/2.0.0/1-face-detections-table.xml                          |2025-12-17 01:47:00.509749|55           |EXECUTED|8:0abeb00860e9a3b3bd73ff62c8e524c8|createIndex indexName=face_detections_confidence, tableName=face_detections                                                                                                                                                                               |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5936019968   |
|rename-face_detections-va_id-column                                    |mark.rufin        |sql/2.0.0/1-face-detections-table.xml                          |2025-12-17 01:47:00.527095|56           |EXECUTED|8:4fd9a267b3694f214e390580acc55975|renameColumn newColumnName=analytics_id, oldColumnName=va_id, tableName=face_detections                                                                                                                                                                   |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5936019968   |
|create-index-face_detections_created_at_va                             |mark.rufin        |sql/2.0.0/1-face-detections-table.xml                          |2025-12-17 01:47:00.554344|57           |EXECUTED|8:b76ca55e6740901f6c41bcd0f9c9999e|createIndex indexName=face_detections_created_at_va, tableName=face_detections                                                                                                                                                                            |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5936019968   |
|drop-face_detections-stream_id-column                                  |mark.rufin        |sql/2.0.0/1-face-detections-table.xml                          |2025-12-17 01:47:00.571408|58           |EXECUTED|8:27eb05ad56d2a4c0a89054fec10d8fa5|dropColumn columnName=stream_id, tableName=face_detections                                                                                                                                                                                                |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5936019968   |
|change-face_detections-box-type                                        |mark.rufin        |sql/2.0.0/1-face-detections-table.xml                          |2025-12-17 01:47:00.735768|59           |EXECUTED|8:f9e41632fa4044d39fbff6aa61c51c05|modifyDataType columnName=box, tableName=face_detections                                                                                                                                                                                                  |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5936019968   |
|add-face_detections_latitude-longitude-columns                         |mark.rufin        |sql/2.0.0/1-face-detections-table.xml                          |2025-12-17 01:47:00.774831|60           |EXECUTED|8:c6c2a78be3d955f32d403127d3511f54|addColumn tableName=face_detections                                                                                                                                                                                                                       |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5936019968   |
