|id |detection_id|status|accepted_by|created_at             |list_id|list_item_id|analytics_id|uuid                                |confidence|box                                                                            |face_image                                                                                    |frame_image                                                                           |age   |gender|race  |spoofed|mask  |latitude|longitude|client_id|
|49 |49          |0     |1          |2025-12-17 22:36:51.052|1      |0           |7           |fd264a94-4591-4c13-aacc-ddc769e10ef3|0         |[0.7797619104385376,0.2592105269432068,0.8046875,0.3013157844543457]           |analytics/faces/7/2025/12/17/22/fd264a94-4591-4c13-aacc-ddc769e10ef3_1766011011024_cropped.jpg|analytics/faces/7/2025/12/17/22/fd264a94-4591-4c13-aacc-ddc769e10ef3_1766011011024.jpg|17-21 |1     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|50 |50          |0     |1          |2025-12-17 22:36:51.742|1      |0           |7           |6a77bd7e-c45b-4660-a3f0-63ec503c6e31|0         |[0.7764136791229248,0.3190789520740509,0.8046875,0.3638157844543457]           |analytics/faces/7/2025/12/17/22/6a77bd7e-c45b-4660-a3f0-63ec503c6e31_1766011011714_cropped.jpg|analytics/faces/7/2025/12/17/22/6a77bd7e-c45b-4660-a3f0-63ec503c6e31_1766011011714.jpg|17-21 |1     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|51 |51          |0     |1          |2025-12-17 22:36:55.547|1      |0           |7           |e6657df3-d285-442e-8e6b-0e39df7c5798|0         |[0.7827380895614624,0.4171052575111389,0.8173363208770752,0.4690789580345154]  |analytics/faces/7/2025/12/17/22/e6657df3-d285-442e-8e6b-0e39df7c5798_1766011015514_cropped.jpg|analytics/faces/7/2025/12/17/22/e6657df3-d285-442e-8e6b-0e39df7c5798_1766011015514.jpg|17-21 |1     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|52 |52          |0     |1          |2025-12-17 22:37:18.647|1      |0           |7           |a07b862e-99cc-4714-a41e-f8150edc12e7|0         |[0.6796875,0.22499999403953552,0.7016369104385376,0.26249998807907104]         |analytics/faces/7/2025/12/17/22/a07b862e-99cc-4714-a41e-f8150edc12e7_1766011038623_cropped.jpg|analytics/faces/7/2025/12/17/22/a07b862e-99cc-4714-a41e-f8150edc12e7_1766011038623.jpg|22-30 |1     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|53 |53          |0     |1          |2025-12-17 22:37:29.989|1      |0           |7           |d6fc4ca9-05b3-46ca-ba27-e2a9d88b6b77|0         |[0.8921130895614624,0.27828946709632874,0.9125744104385376,0.3125]             |analytics/faces/7/2025/12/17/22/d6fc4ca9-05b3-46ca-ba27-e2a9d88b6b77_1766011049959_cropped.jpg|analytics/faces/7/2025/12/17/22/d6fc4ca9-05b3-46ca-ba27-e2a9d88b6b77_1766011049959.jpg|17-21 |0     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|54 |54          |0     |1          |2025-12-17 22:37:31.469|1      |0           |7           |1a658273-3576-4745-a733-af7677d9929a|0         |[0.8828125,0.375,0.9092261791229248,0.42039474844932556]                       |analytics/faces/7/2025/12/17/22/1a658273-3576-4745-a733-af7677d9929a_1766011051446_cropped.jpg|analytics/faces/7/2025/12/17/22/1a658273-3576-4745-a733-af7677d9929a_1766011051446.jpg|22-30 |0     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|36 |36          |0     |1          |2025-12-17 22:35:35.299|1      |0           |7           |f26a1b64-5278-4c9c-aba0-cdc9220f9f47|0         |[0.1421130895614624,0.35328948497772217,0.168898805975914,0.4000000059604645]  |analytics/faces/7/2025/12/17/22/f26a1b64-5278-4c9c-aba0-cdc9220f9f47_1766010935267_cropped.jpg|analytics/faces/7/2025/12/17/22/f26a1b64-5278-4c9c-aba0-cdc9220f9f47_1766010935267.jpg|66-80 |1     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|37 |37          |0     |1          |2025-12-17 22:35:37.199|1      |0           |7           |9bcb868a-30d5-41ac-84f5-5dcb61fc5feb|0         |[0.159226194024086,0.47039473056793213,0.190476194024086,0.5217105150222778]   |analytics/faces/7/2025/12/17/22/9bcb868a-30d5-41ac-84f5-5dcb61fc5feb_1766010937170_cropped.jpg|analytics/faces/7/2025/12/17/22/9bcb868a-30d5-41ac-84f5-5dcb61fc5feb_1766010937170.jpg|81-100|0     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|38 |38          |0     |1          |2025-12-17 22:35:38.085|1      |0           |7           |1dc608b1-a292-4057-b9b6-eac07bb06c76|0         |[0.115699402987957,0.5782894492149353,0.151413694024086,0.6440789699554443]    |analytics/faces/7/2025/12/17/22/1dc608b1-a292-4057-b9b6-eac07bb06c76_1766010938061_cropped.jpg|analytics/faces/7/2025/12/17/22/1dc608b1-a292-4057-b9b6-eac07bb06c76_1766010938061.jpg|66-80 |1     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|40 |40          |0     |1          |2025-12-17 22:36:19.125|1      |0           |7           |f06f84e0-e50a-4b07-9f32-9a8845fe4594|0         |[0.8154761791229248,0.2611842155456543,0.84375,0.31381580233573914]            |analytics/faces/7/2025/12/17/22/f06f84e0-e50a-4b07-9f32-9a8845fe4594_1766010979092_cropped.jpg|analytics/faces/7/2025/12/17/22/f06f84e0-e50a-4b07-9f32-9a8845fe4594_1766010979092.jpg|22-30 |1     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
